Date,Open,High,Low,Close
9/22/2016,8873.3496,8893.3496,8837.7998,8867.4502
9/23/2016,8880.75,8885.2002,8820.2998,8831.5498
9/26/2016,8807.9004,8809.5498,8715.0996,8723.0498
9/27/2016,8748.9004,8768.5,8690.5,8706.4004
9/28/2016,8711.2002,8767.0498,8703.1504,8745.1504
9/29/2016,8792.7002,8800.6504,8558.25,8591.25
9/30/2016,8581.5,8637.1504,8555.2002,8611.1504
10/3/2016,8666.1504,8745.2002,8635,8738.0996
10/4/2016,8770,8783.6504,8736.0996,8769.1504
10/5/2016,8806.3496,8806.9502,8731.4004,8743.9502
10/6/2016,8768.7002,8781.1504,8684.6504,8709.5498
10/7/2016,8721.7002,8723.7002,8663.7998,8697.5996
10/10/2016,8735.3496,8745.7998,8703.9502,8708.7998
10/13/2016,8671.5,8681.5498,8541.3496,8573.3496
10/14/2016,8594,8604.4502,8549.7998,8583.4004
10/17/2016,8612.9502,8615.4004,8506.1504,8520.4004
10/18/2016,8556.0498,8685.0996,8555.9004,8677.9004
10/19/2016,8697.5,8698.75,8636.7002,8659.0996
10/20/2016,8693.3496,8727,8678.2998,8699.4004
10/21/2016,8708.5996,8709.0996,8652.0498,8693.0498
10/24/2016,8709.8496,8736.9502,8684.1504,8708.9502
10/25/2016,8721.7002,8722.6504,8663.4502,8691.2998
10/26/2016,8657.2998,8657.2998,8596.5996,8615.25
10/27/2016,8607.0996,8624.8496,8550.25,8615.25
10/28/2016,8625,8653.75,8581.75,8638
11/1/2016,8653.1504,8669.5996,8614.5,8626.25
